,answer_idx,qid,show_name,ts,vid_name,QUESTION ENGLISH,ANSWER ENGLISH,QUESTION HINDI,ANSWER HINDI,QUESTION CODEMIX,ANSWER CODEMIX,Transcript
582,1,74683,Friends,44.04-53.66,friends_s08e11_seg02_clip_17,Why is ross changing the locks before his girlfriend comes back,he wants to break up with her.,"जब उसकी गर्लफ्रेंड वापस आती है, तो रॉस ताले क्यों बदल रहा है?","जब लड़के सुन रहे थे, तब जोई एक अजनबी महिला के साथ रोमांस कर रहा था।","जब उसकी girlfriend वापस आती है, तो Ross locks क्यों बदल रहा है?","जब लड़के सुन रहे थे, तब Joey एक stranger woman के साथ romance कर रहा था।","That's all right, sir. And that's just one girl. -Bing, what's this? -It's a hand. It's a thing you use as a Jack and Coke holder. It's a wedding ring. Get rid of it. We'll throw it in the East River! -No! -Yes! I did it, and I felt a lot better! You might even hit a seagull in the head. Okay. I'm gonna need a bunch of extra keys.  Ross : Apparently, I give them away for no reason at all. Ross, what's going on? You're changing the lock? No.  Ross : That guy is.  Mona : You give me a key to your apartment, and then you change the lock?  Locksmith : Good luck, buddy. I thought we were moving forward. Now you're sending me all these mixed signals.  Mona : What are you trying to tell me?"
1131,2,1647,How I Met You Mother,42.79-51.94,met_s06e16_seg02_clip_05,What is Barney doing when he walks by Ted and Robins table? ,making a clicking noise,"जब बार्नी टेड और रॉबिन की टेबल से गुजरता है, तो वह क्या कर रहा होता है?",बार्नी शायद किसी को प्रभावित करने की कोशिश कर रहा था या अपनी किसी योजना को अंजाम दे रहा था।,"जब Ted Robin से बात कर रहा होता है, तो वो holiday season की planning कर रहा होता है।",Barney शायद किसी को impress करने की कोशिश कर रहा था या अपनी किसी plan को execute कर रहा था।," Ted : You know, there's this new Italian restaurant  Ted : on 79th that's supposed to be amazing.  Zoey : I would be happier having just a simple, home-cooked meal.  Zoey : As long as it's with you.  Ted : Tomorrow night, my place.  Zoey : I'm ready for this, Ted.  Zoey : I am in it for the long haul.  Zoey : I can't wait for our first Valentine's Day as a couple.  Zoey : The one we'll remember for years.  Ted : - Isn't that great? - Yeah, if you say so.  Ted : What do you mean?  Robin : She just got out of a marriage, Ted. That's heavy.  Robin : I'm kind of freaking out, just listening to you.  Robin : My heart is pounding, I'm hearing this weird clicking noise.  Ted : Well, it's romantic, right?  Ted : Zoey and I are getting serious on Valentine's Day.  Robin : See, that just amps up the pressure even more.  Robin : Boy, it's a good thing that you're sure.  Ted : Who said I wasn't sure?"
1591,1,101233,The Big Bang Theory,32.5-38.4,s07e01_seg02_clip_12,What is Penny holding when talking to Sheldon?,A paper cup.,"जब पेनी शेल्डन से बात कर रही होती है, तो वह क्या पकड़े हुए होती है?",पेनी ज़मीन पर बैठने के बाद समूह से आराम से बात करने लगती है।,"जब पेनी शेल्डन से बात कर रही होती है, तो वह क्या पकड़े हुए होती है?",," Penny : Come on. It's still early. Let's do something.  Sheldon : Well, I have been toying around with an idea for 4D chess.  Penny : -How about we just talk? -All right.  Sheldon : -In 4D chess-- -No.  Penny : Come on, let's talk about our lives.  Penny : Tell me something about you I don't know.  Sheldon : I own nine pairs of pants. Okay, that's a good start,  Penny : but I was thinking maybe something a little more personal.  Raj : -I see. -Hm.  Sheldon : I own nine pairs of underpants.  Penny : How about I go first?  Sheldon : But I don't want to know how many underpants you own.  Sheldon : Although, based on the floor of your bedroom, I'd say it's a thousand.  Penny : Okay, look, here's something people do not know about me.  Penny : When I first moved out to LA,  Penny : I did a topless scene in a low-budget horror movie"
1419,2,106161,How I Met You Mother,11.63-21.48,met_s02e12_seg02_clip_01,Where did Robin say she had never been this long before Lily told her Marshall needs classical music to use the bathroom?,The freeway.,"रॉबिन ने कहाँ कहा कि वह पहले कभी इतनी देर तक नहीं रही थी, इससे पहले कि लिली ने उसे बताया कि मार्शल को बाथरूम इस्तेमाल करने के लिए शास्त्रीय संगीत की जरूरत है?","रॉबिन ने कहा कि वह पहले कभी इतनी देर तक कहीं नहीं रही थी, इससे पहले कि लिली ने उसे बताया कि मार्शल को बाथरूम इस्तेमाल करने के लिए शास्त्रीय संगीत की ज़रूरत है।","रॉबिन ने कहा कि वह पहले कभी इतने long time तक कहीं नहीं रही थी, इससे पहले कि लिली ने उसे बताया कि मार्शल को बाथरूम use करने के लिए classical music की जरूरत है।","रॉबिन ने कहा कि वह पहले कभी इतनी देर तक कहीं नहीं रही थी, इससे पहले कि लिली ने उसे बताया कि मार्शल को bathroom इस्तेमाल करने के लिए classical music की ज़रूरत है।"," Barney : That's when you guys are gonna break up, mark your calendars. Hey! What?  Barney : Then a year and a half, 18 years,  Barney : And the last exit... death.  Barney : Which, if you've been with the same woman for your entire life,  Barney : It's like, ""are we there yet?""  Robin : So I've never been on the freeway this long before.  Robin : I mean, usually by now, I find out the guy  Robin : Has some weird personality thing  Robin : That makes me want to take the next exit.  Lily : Yeah, been there. I once dated a guy  Lily : Who could only go to the bathroom  Lily : When classical music was playing.  Lily : Okay, it was marshall.  Robin : It's just things are going so well with ted.  Robin : I just don't want to complicate it.  Lily : Relax, it'll happen when it happens.  Lily : Which is also the advice I gave marshall  Lily : To get him over the classical music thing.  Robin : Oh, here comes katie. Aw, your sister's so cute. Yeah.  Robin : This reminds me of when I used to see her  Robin : Coming up the driveway from school,  Robin : With her little pigtails and her hello kitty backpack. Well, hello, kitty. Oh, no."
1754,0,42701,How I Met You Mother,22.81-25.31,met_s03e02_seg02_clip_18,What didn't Marshall say he didn't  want from Lily when they were talking ?,dirty pictures,"जब मार्शल और लिली बात कर रहे थे, तो मार्शल ने क्या नहीं कहा कि उसे लिली से नहीं चाहिए?","मार्शल शायद यह कह सकता है कि उसे सलाह, कोई मदद या भावनात्मक समर्थन नहीं चाहिए था जब वे लिली से बात कर रहे थे।","जब Marshall और Lily बात कर रहे थे, तो Marshall ने क्या नहीं कहा कि उसे Lily से नहीं चाहिए?","Marshall शायद यह कह सकता है कि उसे advice, कोई favor, या emotional support नहीं चाहिए था जब वे Lily से बात कर रहे थे।","""busted! I knew you'd read this. You suck, marshall, you totally suck."" That's it? I suck? Lily. Yes, you suck. And you did. Well, you didn't keep your promise either. I don't see any dirty pictures in here. Oh, fine, I'll take the dirty pictures. I don't want 'em now. What is that supposed to mean? What?! Nothing. Nothing. You're beautiful. I would love the photos. Have I told you how beautiful you look?"
789,0,94411,House M.D.,39.07-46.51,house_s03e06_seg02_clip_12,Where did George throw his fork before telling House to stop?,On the table.,हाउस को रोकने से पहले जॉर्ज ने अपनी कांटा कहां फेंका?,,George ने अपना कांटा कहाँ फेंका था जब उसने House से कहा कि वह उसका सवाल बंद करे?,," House : or it's not an unknown condition.  House : So, what is it? You tried to off yourself?  George : You figure I'm fat, therefore I hate myself. Yeah, that's a huge leap of logic.  George : I don't wanna die. I just don't wanna be here.  House : Then it's a condition you've already had diagnosed,  House : or it's something you know you've inherited.  House : Let's see, your stomach has deep-seated feelings  House : of abandonment written all over it,  House : which points toward sexual abuse. While a fear of hospitals, that points to a more specific traumatic event. So I'm gonna say, your mom in the hospital with a candlestick.  House : And by candlestick, of course, I mean inherited OTC deficiency.  George : My parents are both alive and well and living in Boca Raton.  House : Thyrotoxic periodic paralysis?  George : I have no idea what that is. Leukoencephalopathy. Will you stop!  George : If I knew what was wrong, I would tell you.  George : I'm not an imbecile, and I'm not miserable.  George : I'm just overweight.  CELL PHONE RINGING  What? When?  House : To be continued.  EXCLAIMS "
727,3,116060,Friends,4.41-11.66,friends_s05e01_seg02_clip_17,Who was talking to Ross about going on his honeymoon alone when he was waiting at Gate 23?,Rachel.,"जब रॉस गेट 23 पर इंतजार कर रहा होता है, तब कौन उससे अकेले हनीमून पर जाने के बारे में बात कर रहा होता है?",चैंडलर रॉस से अकेले हनीमून पर जाने के बारे में बात कर रहा था।,Ross के proposal के बाद Rachel की reaction हास्यजनक कैसे थी?,Chandler Ross से अकेले honeymoon पर जाने की बात कर रहा था।,"I don't know.  Ross : Come on. It would be really good for you. I could do that. I can't even believe her.  Rachel : You know what? I am going to go. -Good. -Why not? -Right? -Right. Thanks. I'll see you back at home.  Rachel : If I ever get a flight out of here.  Rachel : What? Wait, what? Why don't you come? I mean, I have two tickets. Why not? Well, I don't know, Ross. Really? Yeah. It'd be great. I mean, you can...  Ross : You can lay on the beach...  Ross : ...and I can cry over my failed marriage. You see how I make jokes?  Ross : Really. I mean...  Ross : I could use a friend. Oh, wow. Maybe."
923,3,58793,How I Met You Mother,0-27.46,met_s06e02_seg01_clip_01,What did Ted tell Barney when they were sitting at the table talking that no one believes,Ted told Barney that no one believes that story,टेड ने बार्नी से टेबल पर बैठकर बात करते समय क्या कहा जिसे कोई नहीं मानता?,"टेड ने बार्नी से कहा कि वह यूनिकॉर्न है, जिसका मतलब है कि वह मानता है कि वह अपने रोमांटिक सपनों में अद्वितीय और काल्पनिक है, जिसे कोई और नहीं मानता।","जब सभी हंस रहे होते हैं, तब Marshall एक finger उठाते हुए क्या कहता है?","Ted ने Barney से कहा कि वह unicorn है, जिसका मतलब है कि वह मानता है कि वह अपने romantic सपनों में unique और imaginary है, जिसे कोई और believe नहीं करता।"," Barney : Anyway,  Barney : I need you guys to come out to Staten Island on Saturday  Barney : and help box everything up.  Lily : You expect us to spend  Lily : a whole day packing up your mom's house?  Barney : Of course not. It's a two-day job.  Robin : - Pass. - Same.  Marshall : Unsubscribe.  Barney : You guys are adorable.  Barney : You seriously believe that I, can't talk you into this?  Barney : I got the Queen to give me a fist bump.  Ted : No one believes that.  Lily : You may be able to talk the brain surgeons you pick up  Lily : into doing whatever you want, but it's not gonna work on us.  Lily : How did he do that?"
1997,1,25363,Friends,56.9-65.03,friends_s09e06_seg02_clip_29,How does Ross feel when he is around Sandy's sensitivity?,Uncomfortable,"जब रॉस सैंडी की संवेदनशीलता के आसपास होता है, तो वह कैसा महसूस करता है?",सैंडी की संवेदनशीलता के आसपास रॉस असहज और अभिभूत महसूस करता है।,"जब Ross Sandy की sensitivity के आसपास होता है, तो वह कैसा feel करता है?",Sandy की sensitivity के आसपास Ross uncomfortable और overwhelmed feel करता है।,"l just feel... ...that the chemistry isn't right. l'm sorry.  Ross : We're more than happy to give you a good recommendation. No, that's okay. l had a lot of offers from other families. l just picked you guys because... -...l liked you the best. -Oh, damn you, Geller! Anyway, well l'm glad there's no hard feelings.  Sandy : None at all. You need to be happy with whoever is in your home.  Sandy : Although, if you don't mind telling me... ...what was the problem? Maybe it's something l can work on in the future. No, you know, it's nothing you did. lt's my issue.  Sandy : What is it? Please? You know, l'm just not that comfortable with a guy who's as sensitive as you."
1285,0,71067,House M.D.,1.93-2.77,house_s05e05_seg02_clip_27,What expression did Thirteen have on her face when she stopped speaking to House?,a smile,थर्टीन के चेहरे पर क्या भाव था जब उसने हाउस से बात करना बंद किया?,,Thirteen का चेहरा कैसा था जब उसने House से बात करना बंद किया था?,," Thirteen : Are you going to congratulate me?  House : If you're happy, I'm..."
